City,Temperature,Humidity,Wind Speed
Ningbo,30.0,51.0,10.549999999999999
Chongqing,29.666666666666668,48.0,5.966666666666666
Jinan,29.0,49.0,11.1
Shenzhen,27.5,80.25,12.125
Shijiazhuang,27.166666666666668,60.666666666666664,9.1
Guangzhou,27.166666666666668,55.0,8.533333333333333
Fuzhou,26.0,54.5,4.75
Hangzhou,25.818181818181817,56.0,8.045454545454545
Suzhou,25.666666666666668,65.0,13.25
Tianjin,25.5,68.5,9.7
Wuhan,25.0,81.0,0.8
Xi'an,24.875,60.875,12.2125
Dalian,24.8,65.4,6.02
Zhengzhou,24.666666666666668,61.833333333333336,12.800000000000002
Shanghai,24.6,66.8,8.4
Beijing,24.5,62.5,8.0
Nanjing,24.0,45.666666666666664,13.383333333333335
Qingdao,21.25,62.25,13.375
Chengdu,18.0,56.75,2.975
